UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,4,129,153,Black spinner,2,2,0.0,0.0
169,225,55,174,Papa John's,2,2,0.0,0.0
249,34,56,174,Domino's,2,2,0.0,0.0
9,121,66,174,Pizza hut,2,2,0.0,0.0
41,245,68,174,Tim Hortons,2,2,0.0,0.0
57,96,60,174,Starbucks,2,2,0.0,0.0
9,186,63,174,Subway,2,2,0.0,0.0
217,17,62,174,Burger king,2,2,0.0,0.0
57,78,56,174,KFC,2,2,0.0,0.0
233,196,65,174,Taco bell,2,2,0.0,0.0
249,140,70,174,Macdonld's,2,2,0.0,0.0
201,25,70,174,Panda exp,2,2,0.0,0.0
233,24,55,174,Wendy's,2,2,0.0,0.0


